order,expected_use_time
0,510.34647885013396
1,339.5587461025206
2,339.0733039733125
3,386.51391959259496
4,465.71738306650906
5,154.72188155758636
6,440.5050489159714
7,405.8851821044702
8,599.8074050287004
9,317.28045552516875
10,430.67664195710245
11,338.1349553352263
12,393.35183241406236
13,96.87005849852609
14,36.924901843644996
15,101.24697976117746
16,101.24697976117746
17,317.6395066420107
18,465.71738306650906
19,465.71738306650906
20,265.4512413078882
21,448.61530309694774
22,786.3515402768296
23,440.5050489159714
24,562.2025053899888
25,303.7071296973022
26,154.72188155758636
27,154.72188155758636
28,283.7188497342546
29,390.99121274172813
30,337.80666620289463
31,345.2960187695239
32,265.4512413078882
33,378.3030100013695
34,942.9703862755459
35,454.11655531722215
36,248.08261635235277
37,494.81796972378856
38,225.53185135729527
39,659.6113862372745
40,830.9339893902516
41,590.1591166353522
42,465.71738306650906
43,388.30094980220827
44,440.0515681661374
45,465.71738306650906
46,643.2304809543142
47,154.72188155758636
48,154.72188155758636
49,584.9211726429203
50,269.3621913058924
51,670.2213785440631
52,673.042355103427
53,337.48916145328093
54,306.08594524228323
55,416.5820267323366
56,831.2882047930348
57,281.02263862207434
58,390.99121274172813
59,331.65238484756014
60,510.34647885013396
61,338.1349553352263
62,411.79367938373
63,154.72188155758636
64,340.18705033008
65,417.48396809886435
66,702.6612579413537
67,154.72188155758636
68,482.74689253288824
69,380.1741412749674
70,465.71738306650906
71,36.924901843644996
72,99.1710972306926
73,569.2537073141522
74,520.9920342341768
75,520.9920342341768
76,960.9594213305178
77,353.37186232703834
78,318.4682992263253
79,479.6275645193662
80,382.745873146091
81,465.71738306650906
82,702.6612579413537
83,201.53852692945836
84,442.33909942415596
85,331.65238484756014
86,170.59705524466895
87,228.19184585194427
88,514.5847351061324
89,338.1349553352263
90,231.98619074064803
91,338.1349553352263
92,958.3593065953173
93,386.86212046782623
94,489.492584165674
95,510.35439402525196
96,756.1981387971115
97,386.51391959259496
98,465.71738306650906
99,712.0879039632368
100,846.0083892939639
101,231.11360560083588
102,231.11360560083588
103,281.02263862207434
104,242.64253084526158
105,440.0515681661374
106,426.32723853400574
107,226.44733810070366
108,932.2639249966685
109,36.924901843644996
110,616.0580996114131
111,268.0271706769917
112,655.6598148927192
113,36.924901843644996
114,419.2144650101765
115,380.1741412749674
116,789.2495140138751
117,386.86212046782623
118,400.35793493168205
119,231.11360560083588
120,338.1349553352263
121,330.45253670048567
122,425.2923809446747
123,281.02263862207434
124,311.60627937860176
125,251.93989538695018
126,366.6509458410278
127,231.11360560083588
128,36.924901843644996
129,36.924901843644996
130,307.10523551690875
131,386.51391959259496
132,335.28832862106987
133,404.6877322370768
134,681.1507793773685
135,268.0271706769917
136,702.6612579413537
137,300.32595913622265
138,96.87005849852609
139,476.015957420279
140,268.0271706769917
141,426.32723853400574
142,696.9557440768787
143,36.924901843644996
144,390.98888266407516
145,426.32723853400574
146,840.2938359658008
147,292.5933606632412
148,283.7188497342546
149,338.1349553352263
150,525.674662982802
151,588.5411637688017
152,510.34647885013396
153,440.9676542812831
154,583.4753552409838
155,465.71738306650906
156,510.34647885013396
157,421.16280374932256
158,387.1472348771769
159,302.37903400846216
160,244.9810342732273
161,301.8294786318979
162,283.7188497342546
163,231.11360560083588
164,340.18705033008
165,96.87005849852609
166,281.366430446112
167,294.78846084182646
168,338.1349553352263
169,171.74165155789808
170,449.88079310591525
171,292.5933606632412
172,357.50498245090404
173,489.492584165674
174,1511.827338394893
175,482.74689253288824
176,488.4379040430711
177,465.71738306650906
178,698.7019341560241
179,387.20302999751067
180,341.335615036768
181,408.80499128021
182,511.0987343011483
183,390.99121274172813
184,410.11581797303654
185,386.9275516694363
186,393.14257850354574
187,451.727819664137
188,510.34647885013396
189,351.6333699646437
190,330.5141916476688
191,601.6941386059647
192,431.58409266284946
193,482.2948009014078
194,1128.162385543828
195,350.3494074624726
196,458.26063834010876
197,488.8793723180534
198,703.8234328130014
199,204.63080115457623
200,36.924901843644996
201,350.3494074624726
202,382.4538494596356
203,386.6391847433996
204,404.23932702235237
205,36.924901843644996
206,154.72188155758636
207,813.045163032686
208,702.6612579413537
209,101.24697976117746
210,298.94496513756104
211,423.0358003165001
212,782.5593554601121
213,386.51391959259496
214,494.81796972378856
215,338.1349553352263
216,511.0987343011483
217,36.924901843644996
218,387.5490995127921
219,687.1440234090206
220,655.6598148927192
221,36.924901843644996
222,404.7536931491938
223,778.3731976194252
224,853.6437375193843
225,96.87005849852609
226,340.8450318640344
227,36.924901843644996
228,442.33909942415596
229,465.71738306650906
230,330.0393579489869
231,381.37875099230115
232,574.4908234254135
233,36.924901843644996
234,36.924901843644996
235,281.02263862207434
236,338.1349553352263
237,339.0733039733125
238,655.6598148927192
239,504.2312097753327
240,654.310178575428
241,615.580463054284
242,933.7708247778587
243,96.87005849852609
244,579.7226779583144
245,389.86984220722564
246,281.02263862207434
247,465.71738306650906
248,425.2923809446747
249,801.9827913073094
250,510.34647885013396
251,36.924901843644996
252,338.1349553352263
253,653.5871849402843
254,689.7331661977597
255,36.924901843644996
256,513.5326724925854
257,655.1360504488945
258,782.005326781862
259,340.18705033008
260,386.51391959259496
261,426.32723853400574
262,702.6612579413537
263,36.924901843644996
264,154.72188155758636
265,306.6451618866472
266,494.9458285295813
267,487.18362292380357
268,386.9275516694363
269,36.924901843644996
270,154.72188155758636
271,279.1044330497444
272,465.71738306650906
273,465.71738306650906
274,344.56717154917163
275,564.6051785357516
276,834.4115892162495
277,670.2213785440631
278,281.02263862207434
279,264.97778809521236
280,510.34647885013396
281,296.316812567867
282,400.35793493168205
283,281.02263862207434
284,341.7650317697498
285,567.3488686609795
286,510.34647885013396
287,281.02263862207434
288,281.02263862207434
289,427.07815266708405
290,220.0413910912899
291,154.72188155758636
292,476.26079343381866
293,382.1535859780499
294,576.0008518063048
295,96.87005849852609
296,36.924901843644996
297,281.02263862207434
298,536.0005266545327
299,381.84715143542894
300,328.7764289108634
301,296.7913356483263
302,562.0902307809646
303,425.1572721767162
304,576.0008518063048
305,36.924901843644996
306,338.1349553352263
307,300.32595913622265
